,sensor1.pm25,sensor1.pm10
0,-0.18359701840863385,1.6641671939945555
4,0.5507910552258918,-2.845189073603604
5,-0.9179850920431595,0.37577968896650904
6,-0.9179850920431595,0.37577968896650904
7,-0.9179850920431595,0.37577968896650904
8,-0.9179850920431595,0.37577968896650904
9,-0.9179850920431595,0.37577968896650904
10,-0.9179850920431595,0.37577968896650904
11,1.2851791288604173,-0.26841406354751135
12,1.2851791288604173,-0.26841406354751135
13,1.2851791288604173,-0.26841406354751135
14,1.2851791288604173,-0.26841406354751135
